apartment,lat,lon,source
Hidden Valley Club Apartments,42.2462964,-83.74332969999999,google
Woodbury Gardens Apartments & Townhomes,42.2572738,-83.73317019999999,google
Pine Valley Apartment Homes,42.25131,-83.7259369,google
AVIA Lofts on Victors Way,42.238904,-83.73593749999999,google
Packard Row Apartments,42.2566047,-83.72630819999999,google
State Street Village Apartments,42.2546159,-83.7394406,google
The George Ann Arbor,42.250301,-83.723412,google
Woodland Mews,42.2526954,-83.7519986,google
ReNew Ann Arbor,42.24882090000001,-83.7472543,google
Arbor Village Apartments,42.258716,-83.71514289999999,google
The Emerson Apartments,42.2401843,-83.7541585,google
The Villas at Main Street,42.2500603,-83.74882319999999,google
VERVE Ann Arbor Apartments,42.2729924,-83.7325199,google
South Grove Apartments,42.2366292,-83.7212101,google
Spruce Knob Apartments,42.2379557,-83.7223231,google
Ponds Of Georgetown,42.24956239999999,-83.7203323,google
Arbor Landings Apartments,42.288813,-83.7962101,google
Uptown Ann Arbor,42.2393559,-83.771474,google
Mill Creek Townhomes,42.2396646,-83.7148914,google
Valley Ranch Apartments,42.2352624,-83.7552335,google
The Legacy at Ann Arbor,42.279891,-83.741833,google
Prime Student Housing,42.2513404,-83.7311493,google
Foundry Lofts,42.2815404,-83.7432378,google
Campus Edge Ann Arbor,42.281441,-83.74189199999999,google
Sterling Arbor Blu,42.2739445,-83.7348219,google
University Towers,42.2752432,-83.7332576,google
The Courtyards Student Apartments,42.2952998,-83.7212584,google
Allmand Properties,42.2677825,-83.73853550000001,google
Saga Ann Arbor,42.2804768,-83.74357189999999,google
Z Place Apartments,42.2742161,-83.7355972,google
400 Maynard Apartments,42.2776362,-83.7421214,google
828 Greene LLC,42.2707902,-83.7477395,google
Z West Apartments,42.2775414,-83.7430687,google
Six11,42.2745867,-83.73552080000002,google
University Trails Apartments,42.3091317,-83.73794439999999,google
Stays by 4M,42.2613343,-83.73766750000001,google
The Standard at Ann Arbor,42.2773202,-83.74812589999999,google
Medical Center Court Apartments,42.2891228,-83.7351522,google
Hoover + Greene,42.2695535,-83.7476252,google
The Highlands Apartments,42.2972306,-83.72501489999999,google
City Place Ann Arbor,42.2768064,-83.7460218,google
Corner House Lofts Apartments by Cabrio Properties,42.2801826,-83.740363,google
